issue_id,wp_id,title,kind,priority,confidence,evidence_state,status,source_refs,problem,impact,change,acceptance,verification_command,test_to_add,observed_verification,compatibility,migration,review_verdict,review_notes,counterevidence,graph_evidence,symbols,known_or_new,effort,candidate_dependencies,target_files,base_sha,implementation_sha,verification_evidence
ARC-B03,WP05,Local workspace writeback ignores ExplorerID and overwrites one global file,ownership,P2,high,implemented; focused and integration verification passed,done,internal/server/local_workspace_writeback.go:13-35; internal/server/local_workspace_writeback.go:40-70; internal/server/server.go:338-375; internal/explorer/lifecycle/publish.go:87-90,"server.run configures one callback for one absolute path and project. localWorkspaceWriter accepts a project and an ignored ExplorerID parameter, then atomically renames every published workspace to that same path.",Publishing any interactive Explorer in the configured project can replace the local CONFIG workspace for another Explorer or the repository default. The callback signature suggests per-Explorer routing while configuration owns only a project-wide singleton.,"Make the singleton explicitly default-Explorer-only (reject non-default IDs with a stable error), or replace it with a validated project/Explorer mapping. Preserve no-auth, project, and atomic replacement checks.","With writeback enabled, publishing a non-default Explorer returns a clear rejection and leaves the configured file byte-for-byte unchanged; publishing default still atomically updates it.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/server","Source-only; existing tests inspected cover atomic writeback mechanics and no-auth configuration, not non-default routing. Add a focused test that a non-default ID returns an error and leaves the file byte-for-byte unchanged.","Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc.",behavior-change,The callback has no persisted schema. Migrate local development configuration or callers to select the default/mapping explicitly; no stored Explorer records need rewriting.,accept,"localWorkspaceWriter validates only the configured project and ignores the ExplorerID argument. server.run installs this one callback for lifecycle Publish, whose interactive route passes every Explorer ID, so any permitted publication in that project atomically replaces the same configured path. The singleton may be intentional for local CONFIG development, but its authorization scope is project-wide while the callback shape and callers are per-Explorer.","The no-auth-only configuration guard and project equality check are real safeguards, and temporary-file sync plus rename is atomic. They do not authorize one Explorer to overwrite a repository/default or another interactive Explorer's local workspace.",GitNexus impact for localWorkspaceWriter reaches server.run and the Explorer wiring; source confirms the second callback argument is named _ and not used.,localWorkspaceWriter; run; Service.Publish,new,S,none recorded; see WP dependencies,internal/server/local_workspace_writeback.go; internal/server/options.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc."
ARC-B04,WP05,Receipt is persisted before its deterministic execution contract is verified,state,P1,high,implemented; focused and integration verification passed,done,internal/server/explorer_receipt_contract.go:73-91; internal/explorer/store.go:26-34; internal/explorer/compilation_receipt.go:215-314,"compileExplorerReceipt builds a receipt, stores it through explorerService.StoreCompilationReceipt, then calls compileValidatedReceiptResolution. If that post-store validation fails, the endpoint returns COMPILATION_CONTRACT_MISMATCH but the immutable receipt remains in the receipt collection.","A transient or compiler/runtime drift creates a durable receipt that callers cannot use, yet later lookup and retry encounter the same poisoned immutable ID. There is no delete/quarantine transition in the receipt Store contract.","Run complete deterministic receipt-resolution validation before insertion, or persist an explicit rejected/quarantined state excluded from executable lookup and supersedable by a corrected contract identity. Keep immutable accepted receipts.","When deterministic receipt validation fails, no executable receipt is returned by tenant-scoped lookup; a later corrected compile can persist and use a valid receipt without colliding with the failed attempt.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/server",Source-only; no injected post-store failure was run. Add a server test with a compiler/runtime mismatch proving no executable receipt is returned and a corrected compile can persist a valid receipt.,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc.",behavior-change,Existing receipts that failed post-store validation require audit/recompile or a quarantine marker before changing lookup behavior. A pre-store validation ordering change does not require a format change; a durable rejection state does.,accept,"compileExplorerReceipt calls StoreCompilationReceipt before compileValidatedReceiptResolution. The Arango receipt store validates receipt structure and content identity but cannot prove that the execution engine can reproduce the resolved recipe/fingerprints/provenance. A post-store mismatch therefore leaves an immutable, structurally valid receipt that subsequent lookup accepts while preview/compile validation rejects.","Content addressing makes a mismatch deterministic for a fixed engine, and StoreCompilationReceipt already performs strict receipt validation. That validates the stored artifact's internal fields, not the post-store runtime resolution that can fail due compiler/runtime drift.",GitNexus exact compileExplorerReceipt context shows the server call chain to receipt identity helpers and storage; source order is required because the graph does not encode failure ordering.,compileExplorerReceipt; Service.StoreCompilationReceipt; CompilationReceipt.Validate,new,M,server-owned receipt validation boundary,internal/server/explorer_receipt_contract.go; internal/explorer/compilation_receipt.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc."
ARC-B05,WP05,Repeated-field and relationship multiplicity lack an end-to-end losslessness proof,correctness,P1,high,reproduction-required,blocked,internal/explorer/capability/domain.go:127-138; internal/explorer/authoringv2/types.go:127-136; internal/explorer/compilation/semantic_compile.go:52-53; internal/explorer/compilation/semantic_compile.go:177-193; docs/EXPLORER_BACKLOG.md:14-22; internal/dataframe/semantic/selection_semantics.go:120-136; internal/dataframe/spec/selector_validation.go:10-45; internal/dataframe/compiler/render/aql/selectors.go:79-88; internal/dataframe/compiler/render/aql/navigation_render.go:257-277; internal/dataframe/semantic/recipe_projection.go:89-103; docs/EXPLORER_BACKLOG.md:35-42,"The capability Edge has AllowsRepeatedTarget, but authoring CatalogEdge drops it, and semantic compilation hard-codes RowMultiplication=none while deriving field losslessness from field repeated boundaries only. A related-record scalar selected with FIRST can therefore lack the relationship-cardinality evidence needed by the public contract. The source establishes the missing proof and hard-coded declaration, but not the actual one-root/two-related-record output behavior.",Use the reviewed problem and acceptance criterion; the broader discovery claim is not established.,Retain as a source-inferred contract gap pending the real multi-related-record fixture. Acceptance should require an explicit aggregate/array/row-expansion policy and a persisted RowMultiplication/Lossless/MLReady result; do not claim a reproduced dropped value yet.,"A fixture with repeated fields and one root linked to two records proves explicit FIRST is lossy, while ALL/DISTINCT or declared row expansion retain the intended values; receipt, materialization and Viewer agree on Lossless/MLReady/RowMultiplication.",make verify-fast,"Source-only; the documented multi-related-record acceptance scenario was not run. Add that fixture with one root and two related rows, then verify scalar FIRST cannot publish as lossless.","The live stack passes, but the checked-in fixture does not contain the required one-root/two-related-record FIRST reproduction.",behavior-change,Adding relationship policy to catalog/receipt contracts requires versioned workspace and receipt handling; existing receipts need recompile or an explicit legacy interpretation.,needs-reproduction,"The capability Edge has AllowsRepeatedTarget, but authoring CatalogEdge drops it, and semantic compilation hard-codes RowMultiplication=none while deriving field losslessness from field repeated boundaries only. A related-record scalar selected with FIRST can therefore lack the relationship-cardinality evidence needed by the public contract. The source establishes the missing proof and hard-coded declaration, but not the actual one-root/two-related-record output behavior.","Field-level repeated boundaries do mark array-valued fields, and the backlog explicitly identifies the multi-related-record case as un-reproduced. Route policy's repeated-edge flag is a different concept from relationship target cardinality.","GitNexus query found Publish-to-PublicOutputContracts and semantic compile symbols, but no edge from AllowsRepeatedTarget to the contract; source confirms the capability field is dropped during authoring catalog conversion.",capability.Edge; authoringv2.CatalogEdge; compileSemanticDocument; PublicOutputContract,known,L,none recorded; see WP dependencies,internal/explorer/capability/domain.go; internal/explorer/authoringv2/types.go; internal/explorer/compilation/semantic_compile.go; internal/explorer/output_contract.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,,"The live stack passes, but the checked-in fixture does not contain the required one-root/two-related-record FIRST reproduction."
ARC-B06,WP05,Public projection vocabulary collapses array and distinct-array modes,contract,P1,high,implemented; focused and integration verification passed,done,internal/server/explorer_capability.go:425-435; internal/server/explorer_capability.go:454-465; internal/explorer/authoringv2/semantic_types.go:120-130; internal/explorer/compilation/compile.go:286-299; internal/explorer/compilation/semantic_compile.go:67-84,"The public catalog conversion maps ProjectionArray and ProjectionDistinctArray to the same ALL string, and the compiler's wire helper repeats that collapse. ColumnSource.validate accepts DISTINCT although capability membership is not checked at the compile boundary. The normal ADD_COLUMN reducer does check candidate.ProjectionModes, so the finding combines a real public-vocabulary loss with the separate direct-compile bypass covered by B14.",Use the reviewed problem and acceptance criterion; the broader discovery claim is not established.,Accept the bijective public mapping/versioned enum portion. Narrow the unsupported-mode and logical-type compilation portion to B14 so it is not counted twice; validate membership at the compile boundary and update persisted protocol versions if wire values change.,Array and distinct-array modes round-trip through the versioned catalog/workspace protocol without conflation; legacy decoding is explicit. Invalid compile input coverage is owned by B14.,"GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/explorer/authoringv2 ./internal/explorer/compilation ./internal/server","Source-only; existing reducer/catalog tests were inspected, but distinct round-trip was not run. Add catalog serialization tests for both modes and a versioned legacy decode test; direct invalid-mode coverage belongs to B14.","Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc.",breaking,"Changing ARRAY/DISTINCT_ARRAY wire values affects catalog clients, persisted workspaces, and receipts; provide a protocol/receipt migration or explicit legacy decoder. The B14 validation fix itself can reject invalid new requests without rewriting valid artifacts.",narrow,"The public catalog conversion maps ProjectionArray and ProjectionDistinctArray to the same ALL string, and the compiler's wire helper repeats that collapse. ColumnSource.validate accepts DISTINCT although capability membership is not checked at the compile boundary. The normal ADD_COLUMN reducer does check candidate.ProjectionModes, so the finding combines a real public-vocabulary loss with the separate direct-compile bypass covered by B14.","Reducer-generated columns are limited to advertised modes, and ALL may have been intended as the only public array projection for an earlier protocol. Neither explains two advertised capability enum values becoming one wire value or the accepted DISTINCT vocabulary.",GitNexus exact authoringV2Catalog context shows candidate conversion through stringProjectionModes/defaultProjectionMode; query/context for semantic compilation finds the receipt path but no capability-mode membership check.,authoringV2Catalog; stringProjectionModes; ColumnSource.validate; Compile; compileSemanticDocument,known,M,B05,internal/server/explorer_capability.go; internal/explorer/authoringv2/semantic_types.go; internal/explorer/compilation/compile.go; internal/explorer/compilation/semantic_compile.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc."
ARC-B07,WP05,"Receipt integrity is enforced by the server callback, not at the lifecycle receipt boundary",ownership,P1,high,implemented; focused and integration verification passed,done,internal/explorer/lifecycle/authoring.go:38-61; internal/explorer/compilation_receipt.go:215-297; internal/server/explorer_receipt_contract.go:77-91; internal/explorer/service.go:273-275,"lifecycle.compile resolves capability and validates workspace syntax, then accepts any non-nil ReceiptCompiler result with a non-empty ID. The server callback constructs and stores a fully hashed receipt, but the lifecycle boundary does not call CompilationReceipt.Validate or verify project, explorer, snapshot, and content identity.","The application layer's contract depends on one server implementation and is weaker in repository paths, tests, or alternate transports. A callback returning a wrong-tenant or malformed receipt can cross into later publication/execution before the adapter-specific checks happen.","Require lifecycle compile to validate receipt structure/identity against the request and authorized snapshot, and require the callback contract to return a persisted receipt. Keep digest construction and storage adapter details server-owned.","A ReceiptCompiler returning a non-empty but wrong-project, wrong-token, or hash-invalid receipt is rejected before any publish/preview result is returned; the production server callback continues to pass.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/explorer/lifecycle","Source-only; no malformed callback test was run. Add lifecycle tests for wrong project, Explorer ID, snapshot/scope, invalid ID, and an unpersisted non-empty receipt, plus a production callback pass case.","Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc.",behavior-change,"No persisted-format change is required if existing receipts already satisfy validation. All ReceiptCompiler test doubles and alternate transports must be migrated to return request-bound, validated, persisted artifacts.",accept,"lifecycle.Service.compile validates the workspace and capability, then accepts any non-nil ReceiptCompiler result with a non-empty ID. It does not call CompilationReceipt.Validate/ValidateID or bind project, Explorer ID, snapshot, scope, and identity to the request. Production server wiring currently stores and validates receipts, but that is an adapter implementation property rather than the lifecycle callback contract.","The current production callback is the only server implementation and StoreCompilationReceipt validates its artifact before returning. Publish later validates loaded receipts, so the immediate gap is at compile-result acceptance and alternate/test callbacks, not necessarily current production execution.","GitNexus exact compileExplorerReceipt context identifies the server callback as a caller of receipt identity helpers; lifecycle Apply/compile context shows CompileReceipt is an injected callback, so graph cannot prove all implementations.",Service.compile; ReceiptCompiler; CompilationReceipt.Validate; compileExplorerReceipt,new,S,none recorded; see WP dependencies,internal/explorer/lifecycle/authoring.go; internal/explorer/lifecycle/types.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc."
ARC-B08,WP05,Public output contract does not validate aggregate lossless/ML-ready flags,contract,P2,high,implemented; focused and integration verification passed,done,internal/explorer/output_contract.go:23-47; internal/explorer/output_contract.go:169-217; internal/explorer/compilation/semantic_compile.go:52-53; internal/explorer/compilation/semantic_compile.go:177-193,"PublicOutputContract.ValidateAgainst compares output identity, row metadata, column count/order, and every column metadata bit, but never derives or checks the output-level Lossless and MLReady booleans against its columns.",A content-addressed receipt can be internally self-consistent yet claim lossless=true or mlReady=true while a column says false. Contract consumers that read the aggregate flags receive a false quality summary.,Derive expected aggregate flags from emitted columns plus any explicit row policy and reject mismatches during contract validation. Preserve the transport recomputation as defense in depth and version the contract if semantics change.,A contract with one Lossless=false column cannot validate with output Lossless=true; a matching aggregate summary validates and remains content-addressed.,"GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/explorer",Source-only; existing contract tests were inspected but no aggregate-forgery case was run. Add a validator test for false-column/true-output combinations and matching summaries.,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc.",behavior-change,"Existing receipts with forged or legacy aggregate flags need validation/recompile policy. If the derivation is unchanged, no format migration is necessary; row-policy semantics would require a receipt version migration.",accept,"PublicOutputContracts.ValidateAgainst checks output identity, row metadata, ordered columns, and every column lossless/MLReady bit, but never compares output-level Lossless/MLReady with the ordered emitted-column summary. A content-addressed contract can thus be internally consistent under this validator while its aggregate quality flags disagree with its columns.","The semantic compiler computes aggregates by AND-ing emitted flags, and the OpenAPI conversion independently recomputes them for its response. Those safeguards reduce current transport impact but do not make the persisted public contract validator complete for direct consumers or tamper detection.",GitNexus query connects Compile/Publish to PublicOutputContracts and CompilationReceipt.Validate; source inspection shows the ValidateAgainst loop has no aggregate-flag calculation.,PublicOutputContract.ValidateAgainst; PublicOutputContracts.ValidateAgainst; CompilationReceipt.Validate,new,S,B05,internal/explorer/output_contract.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc."
ARC-B09,WP05,Viewer projection silently falls back when immutable Config or public contract is malformed,correctness,P2,high,implemented; focused and integration verification passed,done,internal/explorer/viewer_projection.go:19-35; internal/explorer/viewer_projection.go:92-101; internal/explorer/viewer_projection.go:118-121; internal/explorer/viewer_projection.go:269-277; internal/explorer/service.go:75-91,"BuildViewerProjection ignores decodeProjectionConfig errors, falls back to default views, and ignores DecodePublicOutputContracts errors while constructing labels. A revision with malformed Config can therefore return a runtime using guessed/default presentation, or an output with no visible columns, instead of reporting an invalid immutable revision.",A corrupted or incompatible active revision is presented as a valid but different Viewer state. Researchers may see missing labels/columns or defaults and have no diagnostic that the persisted publication contract was invalid.,"Make decoding version-aware and strict for current immutable revisions, returning a typed integrity diagnostic/error for malformed Config or public contract. Retain fallback only for explicitly identified legacy/absent artifacts.",Malformed current Config or PublicOutputContract causes GET state to report an explicit integrity diagnostic and never silently substitutes default views; recognized legacy revisions retain their documented fallback.,"GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/server",Source-only; malformed Config/public-contract paths were not run. Add state-route tests proving current malformed artifacts never substitute defaults while a recognized recipe-only legacy revision retains fallback.,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc.",behavior-change,Legacy recipe-only revisions need an explicit compatibility classification. Current malformed revisions should be quarantined/recompiled; changing the state route may require callers to handle an integrity diagnostic but not a stored-format rewrite.,accept,"BuildViewerProjection treats any Config JSON decode error as hasConfig=false and falls back to recipe-derived default views. It also ignores DecodePublicOutputContracts errors, leaving contractLabels empty; ensureColumn then drops columns lacking labels while still potentially returning an output/runtime. LoadExplorerState exposes this projection without an integrity error, so malformed current immutable artifacts can look like a valid but different or empty Viewer state.","The projection comments intentionally permit a recipe-only default table, and an absent Config can be a compatibility case. That does not justify treating malformed current-version Config or output contract bytes as absence; the existing tests cover missing metadata, not malformed current artifacts.",GitNexus query for BuildViewerProjection/PublicOutputContract found the Viewer state route and contract decoder definitions; source was needed because fallback branches are ordinary control flow.,BuildViewerProjection; decodeProjectionConfig; Service.LoadExplorerState,new,M,B08,internal/explorer/viewer_projection.go; internal/explorer/service.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc."
ARC-B10,WP05,Route MaxHops diagnostics disagree between commands and compilation,state,P2,high,implemented; focused and integration verification passed,done,internal/explorer/authoringv2/types.go:143-150; internal/explorer/authoringv2/commands.go:284-307; internal/explorer/compilation/semantic_compile.go:300-330; internal/explorer/capability/domain.go:82-102,"ADD_ROUTE does not enforce CatalogSnapshot.RoutePolicy.MaxHops, so a command can persist a route that compile later rejects with ROUTE_TOO_LONG. The claim is too broad for the other policy fields: CatalogSnapshot.Validate rejects self-loop edges when AllowSelfLoops is false, and routeUsesRelationship rejects repeated relationships unconditionally (stricter than a policy allowing them). Compilation remains the final route authority.",Use the reviewed problem and acceptance criterion; the broader discovery claim is not established.,"Narrow to the missing MaxHops command-time diagnostic and align reducer/compile policy for that field, or explicitly document mutable-state permissiveness. Do not claim missing enforcement for AllowSelfLoops/AllowRepeatedEdges without changing their existing stricter behavior.",The chosen draft-permissiveness policy has a command/compile parity test for MaxHops and stable UI diagnostics; existing self-loop and repeated-edge behavior remains tested.,"GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/explorer/authoringv2 ./internal/explorer/compilation","Source-only; no command/compile route-policy tests were run. Add focused tests for maxHops rejection/no draft mutation, allowed finite routes, and preserve existing self-loop/repeated-edge behavior.","Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc.",behavior-change,Existing drafts may contain over-depth routes and will need reconcile/reject diagnostics if command-time enforcement is added. No persisted format change is required; callers should surface the stable policy error.,narrow,"ADD_ROUTE does not enforce CatalogSnapshot.RoutePolicy.MaxHops, so a command can persist a route that compile later rejects with ROUTE_TOO_LONG. The claim is too broad for the other policy fields: CatalogSnapshot.Validate rejects self-loop edges when AllowSelfLoops is false, and routeUsesRelationship rejects repeated relationships unconditionally (stricter than a policy allowing them). Compilation remains the final route authority.","Mutable Builder state intentionally permits some intermediate invalid selections, and compile is the semantic/security authority. Self-loop policy is validated at catalog acceptance, while repeated-edge handling is already a stricter reducer rule; neither is an accepted unsupported route as described.","GitNexus query/context shows authoring command and semantic compile processes separately; it does not connect CatalogSnapshot.RoutePolicy to ApplyCommands, which source confirms is a missing check.",ApplyCommands; CommandAddRoute; resolveSemanticRoute; RoutePolicy.Allows,new,M,none recorded; see WP dependencies,internal/explorer/authoringv2/commands.go; internal/explorer/authoringv2/validation.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc."
ARC-B11,WP05,Legacy migration cannot distinguish explicit lossy FIRST from an old implicit default,state,P2,high,implemented; focused and integration verification passed,done,internal/explorer/authoringv2/migration.go:5-45; internal/explorer/authoringv2/semantic_types.go:120-130; internal/explorer/authoringv2/migration_test.go:5-29; docs/EXPLORER_BACKLOG.md:14-22,"For any workspace with SemanticsVersion below 2, MigrateLosslessDefaults rewrites a repeated field with empty or FIRST projection to INDEXED whenever the catalog supports INDEXED. The workspace format has no per-column marker recording whether FIRST was explicitly chosen.","Loading an old workspace can change a researcher's intentional lossy selection into multiple indexed columns without consent, altering output shape and digest. Conversely, preserving FIRST would retain a silent loss; the migration lacks enough state to choose correctly.","Require a durable/versioned migration decision for ambiguous pre-v2 repeated FIRST (or reject it with an actionable report), and include the decision in the intent digest. Preserve current v2 explicit FIRST unchanged.","A pre-v2 workspace containing repeated FIRST is either migrated with a durable, visible migration decision or rejected as ambiguous; a current v2 explicit FIRST round-trips unchanged.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/explorer/authoringv2","Source-only; existing migration tests were inspected, but an intentionally lossy pre-v2 FIRST fixture was not run. Add tests for visible decision/rejection and v2 round-trip preservation.","Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc.",breaking,"This is itself a persisted-workspace migration: introduce a marker/decision format and define handling for already published pre-v2 receipts/revisions, which should remain immutable and be recompiled only explicitly.",accept,"MigrateLosslessDefaults applies to every workspace below the current semantics version and rewrites an empty/FIRST repeated field to INDEXED whenever the matching catalog candidate supports it. The workspace has no marker recording whether pre-v2 FIRST was an explicit lossy choice or the historical implicit default, so the migration cannot recover that intent. Current v2 workspaces bypass the migration and preserve explicit FIRST.","The rewrite is intentional for historical defaults, is copy-on-write, and the focused migration test proves current explicit FIRST is not rewritten. That policy cannot distinguish an intentional pre-v2 FIRST, which is the compatibility ambiguity rather than a reproduced runtime failure.",GitNexus query results identify MigrateLosslessDefaults on the compile/receipt process; source and its focused migration test show the version gate is workspace-wide and FIRST has no explicitness bit.,MigrateLosslessDefaults; ColumnSource.validate; CurrentSemanticsVersion,new,M,B05; B06,internal/explorer/authoringv2/migration.go; internal/explorer/authoringv2/types.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc."
ARC-B12,WP05,Repository publication persists lifecycle state before release and Explorer activation,state,P1,high,implemented; focused and integration verification passed,done,internal/explorer/lifecycle/repository_publish.go:61-82; internal/explorer/service.go:288-330; internal/explorer/arango/publication.go:30-72; internal/explorer/arango/activation.go:56-80,"PublishRepository materializes, calls UpsertRepositoryV2 (which stores receipt, owner draft, and READY revision), then separately calls ActivateRelease and ActivateRepositoryGeneration. Activation failure can leave a persisted ready revision/updated owner without a matching dataset release, or a switched dataset release without an active Explorer pointer.","Retries and readers can observe split-brain lifecycle state. The code marks the revision FAILED for the first release activation failure but does not provide a durable pending activation/reconciliation state, and the second activation failure has no compensating transition.","Add a durable pending/failed publication coordinator with idempotent repair, or extend storage transaction scope to the release switch. Define reader visibility for READY/PENDING and ensure failed revisions cannot appear active.","Injecting either activation failure leaves an explicit, retryable pending/failed publication state; after retry, dataset release and Explorer active pointer refer to the same revision and generation, with no reader reporting the failed revision as active.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/explorer/lifecycle ./internal/explorer/arango",Source-only; no injected first- or second-activation failure was run. Add lifecycle tests for both failures and a retry proving release generation and Explorer active revision converge without exposing the failed revision.,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc.",behavior-change,Existing READY/FAILED revisions and active release pointers need a reconciliation scan when introducing pending state. Repository publish callers must retry the same receipt/revision identity idempotently.,accept,"PublishRepository persists the receipt, owner draft, and READY revision in UpsertRepositoryV2, then calls release activation and Explorer/dataset-generation activation separately. ActivateRepositoryGeneration atomically updates its lifecycle active document, revision status, and Explorer pointer, but it cannot roll back a prior ActivateRelease callback. A release success followed by the second activation failure therefore leaves dataset release and Explorer active pointer split; a first activation failure leaves persisted READY/FAILED work without a durable pending state.","The composite Arango transaction does prevent partial updates among lifecycle, revision, and owner documents, and the code comments explicitly identify separate activation for adapter composition. That does not make the external release switch and Explorer pointer atomic or provide retry/reconciliation state.",GitNexus query connects PublishRepository/UpsertRepositoryV2 to publication and release processes; source confirms UpsertRepositoryV2 and both activation calls are separate operations.,Service.PublishRepository; Service.UpsertRepositoryV2; Service.ActivateRepositoryGeneration; Store.PublishAuthoring,new,L,B04; B07,internal/explorer/lifecycle/repository_publish.go; internal/explorer/service.go; internal/explorer/arango/activation.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc,"Explorer, server, and GraphQL focused gates plus the 20-assertion live integration scenario passed at 8f57025aecd68c7e5ef5b7593d6b2b2a8ee100fc."
