candidate_id,claim,disposition,reason,correction,source_refs,base_sha
C14,Release publications retain prior-generation optional outputs inside a new-generation release,rejected,"Carrying prior optional publications is explicitly implemented and tested: the release test expects the prior-generation optional binding with Stale=true. Active materialization readers do not enumerate release.Publications; they require successful output, pointer identity, and active generation equality. Therefore the asserted exposure of old tables through the normal current-reader path is contradicted by source and tests.","Do not remove carried history. Document Stale as historical/non-current and, if a future API exposes release publication enumeration, require a shared current-only helper or an explicit include-stale option with generation filtering.",internal/dataset/release.go:195; internal/dataset/release.go:201; internal/dataset/release.go:245,3af5e2a7c1f47c104b601f92d7e517b265671bfd
C-discovery-reject,Delete the legacy READY/PENDING/PREFLIGHT/LOADING lifecycle values immediately.,rejected-in-discovery,"Both dataset and publication codecs intentionally canonicalize persisted legacy values; existing tests and comments identify compatibility contracts, so this needs a migration plan rather than a deletion recommendation.",No work scheduled.,internal/dataset/manifest.go:8; internal/dataframe/publication/bundle.go:29; internal/dataframe/publication/bundle.go:147,3af5e2a7c1f47c104b601f92d7e517b265671bfd
C-discovery-reject,Remove the explicit in-memory Engine.Run API because it accumulates all rows.,rejected-in-discovery,"Run is documented as an explicit complete-dataframe API; the bounded stream/publication path is separate, so unbounded accumulation is an intentional caller contract rather than an unsupported leak.",No work scheduled.,internal/dataframe/execution/engine.go:386; internal/dataframe/execution/engine.go:389,3af5e2a7c1f47c104b601f92d7e517b265671bfd
C-discovery-reject,Treat zero static importers for a storage helper as deletion authorization.,rejected-in-discovery,Storage adapters and persisted formats are contract boundaries; package audit rows explicitly require preserving persisted-data contracts and runtime verification.,No work scheduled.,docs/PACKAGE_AUDIT.csv:46; docs/PACKAGE_AUDIT.csv:47; docs/PACKAGE_AUDIT.csv:58; docs/PACKAGE_AUDIT.csv:59,3af5e2a7c1f47c104b601f92d7e517b265671bfd
D-discovery-reject,GET dataset-generation status is incorrectly protected by write authorization.,rejected-in-discovery,The bulk handler and OpenAPI operation explicitly document this as a write-auth preflight for the subsequent upload; changing it would weaken the intended staging boundary.,No work scheduled.,internal/api/bulk/load/operations.go:34-75; openapi/openapi.yaml:235-270,3af5e2a7c1f47c104b601f92d7e517b265671bfd
D-discovery-reject,Dataframe export leaks auth_resource_path or internal row IDs.,rejected-in-discovery,"Reader.readerColumns rejects explicitly requested auth_resource_path and internal columns, default export excludes them, and Reader.Stream strips internal row IDs before the writer. The remaining partial-stream failure is recorded as D07 instead.",No work scheduled.,internal/dataframe/published/read.go:176-185; internal/dataframe/published/read.go:205-233; internal/api/graphql/graph/dataframe/export.go:37-45; internal/api/graphql/graph/dataframe/export.go:159-167,3af5e2a7c1f47c104b601f92d7e517b265671bfd
D-discovery-reject,GraphQL error presenter loses custom extensions or mutates caller errors.,rejected-in-discovery,The presenter tests explicitly cover preserving custom code/retryable/hints and non-mutation; no supported defect was found in this slice.,No work scheduled.,internal/api/graphql/graph/errors.go:1-120; internal/api/graphql/graph/errors_test.go:1-180,3af5e2a7c1f47c104b601f92d7e517b265671bfd
D-discovery-reject,The unbounded GraphQL result buffer is already a demonstrated production outage.,rejected-in-discovery,"Source establishes an unbounded double-buffering risk, but no live large-response or allocation measurement was run; D04 is an operability candidate, not a claimed incident.",No work scheduled.,internal/api/graphql/graph/handler.go:66-108; internal/server/openapi_graphql_routes.go:15-39,3af5e2a7c1f47c104b601f92d7e517b265671bfd
E-discovery-reject,Read-only authoring suggestions/preview/capability requests are missing auth_resource_path and therefore are unauthorized.,rejected-in-discovery,The API unit contract explicitly expects auth_resource_path only on durable Explorer mutations; suggestions and preview are intentionally non-durable reads. No finding was made from that distinction.,No work scheduled.,ui/packages/loom-ui/src/api.ts:451-499; ui/packages/loom-ui/src/api.unit.test.ts:4-52,3af5e2a7c1f47c104b601f92d7e517b265671bfd
E-discovery-reject,The UI's dotted-column nesting in shapeRows is necessarily a data-loss bug.,rejected-in-discovery,"Builder physical column identifiers are constrained to safe underscore names, and no in-scope caller was found that requires literal dotted physical keys; this was not promoted without a failing fixture.",No work scheduled.,ui/packages/loom-ui/src/api.ts:333-355; ui/packages/loom-ui/src/types.ts:114-125,3af5e2a7c1f47c104b601f92d7e517b265671bfd
E-discovery-reject,The demo's Vite source aliases and polling are architectural defects.,rejected-in-discovery,"They are explicit development adapters for local source iteration; the config keeps production package resolution separate, and no concrete isolation/behavior failure was established from the adapter itself.",No work scheduled.,ui/apps/demo/vite.config.ts:13-59,3af5e2a7c1f47c104b601f92d7e517b265671bfd
